T,$\sigma$,V
375.0,495.0,-16024741906.34784
375.0,510.0,-15427538715.280344
375.0,525.0,-14854597976.690992
375.0,540.0,-14282031070.440147
375.0,555.0,-13711175121.9447
375.0,570.0,-13165873648.88303
375.0,585.0,-12634643787.053864
375.0,600.0,-12117768076.344177
375.0,615.0,-11615459321.38646
375.0,630.0,-11127865336.745483
375.0,645.0,-10655073664.027534
375.0,660.0,-10197116227.975864
375.0,675.0,-9753973903.466133
375.0,690.0,-9325580967.968475
375.0,705.0,-8911829416.839346
375.0,720.0,-8512573123.3571
375.0,735.0,-8127631827.033042
375.0,750.0,-7756794938.555654
375.0,765.0,-7399825151.262103
375.0,780.0,-7056461852.685799
375.0,795.0,-6726424331.774869
375.0,810.0,-6409414780.144781
375.0,825.0,-6105121087.753535
375.0,840.0,-5813219434.557129
375.0,855.0,-5533376682.996186
375.0,870.0,-5265252575.31038
375.0,885.0,-5008501742.902646
375.0,900.0,-4762775534.582952
375.0,915.0,-4527723671.88686
375.0,930.0,-4302995739.865225
375.0,945.0,-4088242522.5543766
375.0,960.0,-3883117191.9180865
375.0,975.0,-3687276359.9498634
375.0,990.0,-3500381002.6685834
390.0,0.0,-43996823954.685616
390.0,15.0,-43965034447.98219
390.0,30.0,-43870154506.52844
390.0,45.0,-43713391018.53132
390.0,60.0,-43496429064.470146
390.0,75.0,-43221312715.45269
390.0,90.0,-42890364292.16858
390.0,105.0,-42506123250.93345
390.0,120.0,-42071297280.49618
390.0,135.0,-41588721832.44434
390.0,150.0,-41061325880.82667
390.0,165.0,-40492102509.78951
390.0,180.0,-39884083378.21474
390.0,195.0,-39240316388.8683
390.0,210.0,-38563846064.41349
390.0,225.0,-37857696254.039894
390.0,240.0,-37124854877.17435
390.0,255.0,-36368260470.41197
390.0,270.0,-35590790348.92885
390.0,285.0,-34795250224.73145
390.0,300.0,-33984365152.000378
390.0,315.0,-33160771686.129078
390.0,330.0,-32327011161.39187
390.0,345.0,-31485524001.99316
390.0,360.0,-30638644992.12604
390.0,375.0,-29788599437.60726
390.0,390.0,-28937500158.66196
390.0,405.0,-28087345257.765503
390.0,420.0,-27240016479.277077
390.0,435.0,-26397278902.57142
390.0,450.0,-25560779949.25688
390.0,465.0,-24732050289.910748
390.0,480.0,-23912504639.495365
390.0,495.0,-23103443187.2737
390.0,510.0,-22306053491.455486
390.0,525.0,-21521412799.473938
390.0,540.0,-20750490756.87333
390.0,555.0,-19994152467.054184
390.0,570.0,-19253161864.696285
390.0,585.0,-18528185366.76529
390.0,600.0,-17819795764.79418
390.0,615.0,-17128476322.24945
390.0,630.0,-16454625042.159433
390.0,645.0,-15798559069.586037
390.0,660.0,-15160519195.372812
390.0,675.0,-14540674427.882475
390.0,690.0,-13939126600.26744
390.0,705.0,-13355914983.208029
390.0,720.0,-12791020873.714128
